#,Name   ,Effect,Type   ,Kind,Power,Accuracy,PP   
,,,,,,,
1,Pound,Deals damage with no additional effect.,Normal,Physical,40,100%,35
2,Karate Chop,Has a high critical hit ratio.,Fighting,Physical,50,100%,25
3,DoubleSlap,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Normal,Physical,15,85%,10
4,Comet Punch,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Normal,Physical,18,85%,15
5,Mega Punch,Deals damage with no additional effect.,Normal,Physical,80,85%,20
6,Pay Day,The player picks up extra money after in-game battles; the money received is equal to: [user's level * 5 * number of times Pay Day is used]. The player does not lose money if the opponent uses Pay Day but the player wins the battle.,Normal,Physical,40,100%,20
7,Fire Punch,Has a 10% chance to burn the target.,Fire,Physical,75,100%,15
8,Ice Punch,Has a 10% chance to freeze the target.,Ice,Physical,75,100%,15
9,ThunderPunch,Has a 10% chance to paralyze the target.,Electric,Physical,75,100%,15
10,Scratch,Deals damage with no additional effect.,Normal,Physical,40,100%,35
11,ViceGrip,Deals damage with no additional effect.,Normal,Physical,55,100%,30
12,Guillotine,The target faints; doesn't work on higher-leveled Pokemon.,Normal,Physical,0,30%,5
13,Razor Wind,The user prepares on turn one becoming uncontrollable and then attacks on turn two. Has a high critical hit ratio.,Normal,Special,80,100%,10
14,Swords Dance,Raises the user's Attack by 2 stages.,Normal,Status,0,,30
15,Cut,Deals damage with no additional effect.,Normal,Physical,50,95%,30
16,Gust,Power doubles if the target is in mid-air via Fly or Bounce.,Flying,Special,40,100%,35
17,Wing Attack,Deals damage with no additional effect.,Flying,Physical,60,100%,35
18,Whirlwind,Almost always goes last; in trainer battles the target is switched out for a random member of its team. Escapes from wild battles. Has no effect if the target has Suction Cups or used Ingrain.,Normal,s+,0,100%,20
19,Fly,On the first turn the user flies into the air becoming uncontrollable and evades most attacks. Gust Twister Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.,Flying,Physical,90,95%,15
20,Bind,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.,Normal,Physical,15,85%,20
21,Slam,Deals damage with no additional effect.,Normal,Physical,80,75%,20
22,Vine Whip,Deals damage with no additional effect.,Grass,Physical,35,100%,15
23,Stomp,Has a 30% chance to make the target flinch; also retains its normal accuracy and gains doubled power against Minimized Pokemon.,Normal,Physical,65,100%,20
24,Double Kick,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit.,Fighting,Physical,30,100%,30
25,Mega Kick,Deals damage with no additional effect.,Normal,Physical,120,75%,5
26,Jump Kick,If this attack misses the target the user half of its max health in recoil damage.,Fighting,Physical,100,95%,10
27,Rolling Kick,Has a 30% chance to make the target flinch.,Fighting,Physical,60,85%,15
28,Sand-Attack,Lowers the target's Accuracy by 1 stage.,Ground,acc-,0,100%,15
29,Headbutt,Has a 30% chance to make the target flinch.,Normal,Physical,70,100%,15
30,Horn Attack,Deals damage with no additional effect.,Normal,Physical,65,100%,25
31,Fury Attack,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Normal,Physical,15,85%,20
32,Horn Drill,The target faints; doesn't work on higher-leveled Pokemon.,Normal,Physical,0,30%,5
33,Tackle,Deals damage with no additional effect.,Normal,Physical,50,100%,35
34,Body Slam,Has a 30% chance to paralyze the target.,Normal,Physical,85,100%,15
35,Wrap,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.,Normal,Physical,15,90%,20
36,Take Down,The user receives 1/4 recoil damage.,Normal,Physical,90,85%,20
37,Thrash,The user attacks uncontrollably for 2-3 turns and then gets confused.,Normal,Physical,120,100%,10
38,Double-Edge,The user receives 1/3 recoil damage.,Normal,Physical,120,100%,15
39,Tail Whip,Lowers the target's Defense by 1 stage.,Normal,d-,0,100%,30
40,Poison Sting,Has a 30% chance to poison the target.,Poison,Physical,15,100%,35
41,Twineedle,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit. Has a 20% chance to poison the target .,Bug,Physical,25,100%,20
42,Pin Missile,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Bug,Physical,14,85%,20
43,Leer,Lowers the target's Defense by 1 stage.,Normal,d-,0,100%,30
44,Bite,Has a 30% chance to make the target flinch.,Dark,Physical,60,100%,25
45,Growl,Lowers the target's Attack by 1 stage.,Normal,a-,0,100%,40
46,Roar,Almost always goes last; in trainer battles the target is switched out for a random member of its team. Escapes from wild battles. Has no effect if the target has Suction Cups Soundproof or used Ingrain.,Normal,Status,0,100%,20
47,Sing,Puts the target to sleep.,Normal,Status,0,55%,15
48,Supersonic,Confuses the target.,Normal,Status,0,55%,20
49,SonicBoom,Always deals 20 points of damage.,Normal,Special,20,90%,20
50,Disable,The target cannot choose its last move for 4-7 turns. Disable only works on one move at a time and fails if the target has not yet used a move or if its move has run out of PP. The target does nothing if it is about to use a move that becomes disabled.,Normal,d-,0,100%,20
51,Acid,Has a 10% chance to lower the target's Special Defense by 1 stage.,Poison,Special,40,100%,30
52,Ember,Has a 10% chance to burn the target.,Fire,Special,40,100%,25
53,Flamethrower,Has a 10% chance to burn the target.,Fire,Special,95,100%,15
54,Mist,Protects every Pokemon on the user's team from negative stat modifiers caused by other Pokemon (including teammates) but not by itself for five turns. The team's Accuracy and Evasion stats are also protected. Moves that cause negative stat modifiers as a secondary effect such as Psychic still deal their regular damage.,Ice,d+,0,,30
55,Water Gun,Deals damage with no additional effect.,Water,Special,40,100%,25
56,Hydro Pump,Deals damage with no additional effect.,Water,Special,120,80%,5
57,Surf,Power doubles against a target who is in the middle of using Dive.,Water,Special,95,100%,15
58,Ice Beam,Has a 10% chance to freeze the target.,Ice,Special,95,100%,10
59,Blizzard,Has a 10% chance to freeze the target. During Hail this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.,Ice,Special,120,70%,5
60,Psybeam,Has a 10% chance to confuse the target.,Psychic,Special,65,100%,20
61,BubbleBeam,Has a 10% chance to lower the target's Speed by 1 stage.,Water,Special,65,100%,20
