Key,Attack Type,Defense Type,Multiplier
1,Fire,Grass,2
2,Fire,Water,0.5
3,Fire,Fire,0.5
4,Fire,Ice,2
5,Fire,Bug,2
6,Fire,Rock,0.5
7,Fire,Dragon,0.5
8,Fire,Steel,2
9,Normal,Rock,0.5
10,Normal,Ghost,0
11,Normal,Steel,0.5
12,Water,Fire,2
13,Water,Water,0.5
14,Water,Grass,0.5
15,Water,Ground,2
16,Water,Rock,2
17,Water,Dragon,0.5
18,Electric,Water,2
19,Electric,Electric,0.5
20,Electric,Grass,0.5
21,Electric,Ground,0
22,Electric,Flying,2
23,Electric,Dragon,0.5
24,Grass,Fire,0.5
25,Grass,Water,2
26,Grass,Grass,0.5
27,Grass,Poison,0.5
28,Grass,Ground,2
29,Grass,Flying,0.5
30,Grass,Bug,0.5
31,Grass,Rock,2
32,Grass,Dragon,0.5
33,Grass,Steel,0.5
34,Ice,Fire,0.5
35,Ice,Water,0.5
36,Ice,Grass,2
37,Ice,Ice,0.5
38,Ice,Ground,2
39,Ice,Flying,2
40,Ice,Dragon,2
41,Ice,Steel,0.5
42,Fighting,Normal,2
43,Fighting,Ice,2
44,Fighting,Poison,0.5
45,Fighting,Flying,0.5
46,Fighting,Psychic,0.5
47,Fighting,Bug,0.5
48,Fighting,Rock,2
49,Fighting,Ghost,0
50,Fighting,Dark,2
51,Fighting,Steel,2
52,Poison,Grass,2
53,Poison,Poison,0.5
54,Poison,Ground,0.5
55,Poison,Rock,0.5
56,Poison,Ghost,0.5
57,Poison,Steel,0
58,Ground,Fire,2
59,Ground,Electric,2
60,Ground,Grass,0.5
61,Ground,Poison,2
62,Ground,Flying,0
63,Ground,Bug,0.5
64,Ground,Rock,2
65,Ground,Steel,2
66,Flying,Electric,0.5
67,Flying,Grass,2
68,Flying,Fighting,2
69,Flying,Bug,2
70,Flying,Rock,0.5
71,Flying,Steel,0.5
72,Psychic,Fighting,2
73,Psychic,Poison,2
74,Psychic,Psychic,0.5
75,Psychic,Dark,0
76,Psychic,Steel,0.5
77,Bug,Fire,0.5
78,Bug,Grass,2
79,Bug,Fighting,0.5
80,Bug,Poison,0.5
81,Bug,Flying,0.5
82,Bug,Psychic,2
83,Bug,Ghost,0.5
84,Bug,Dark,2
85,Bug,Steel,0.5
86,Rock,Fire,2
87,Rock,Ice,2
88,Rock,Fighting,0.5
89,Rock,Ground,0.5
90,Rock,Flying,2
91,Rock,Bug,2
92,Rock,Steel,0.5
93,Ghost,Normal,0
94,Ghost,Psychic,2
95,Ghost,Ghost,2
96,Ghost,Dark,0.5
97,Ghost,Steel,0.5
98,Dragon,Dragon,2
99,Dragon,Steel,0.5
100,Dark,Fighting,0.5
101,Dark,Psychic,2
102,Dark,Ghost,2
103,Dark,Dark,0.5
104,Dark,Steel,0.5
105,Steel,Fire,0.5
106,Steel,Water,0.5
107,Steel,Electric,0.5
108,Steel,Ice,2
109,Steel,Rock,2
110,Steel,Steel,0.5
